City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,lebu,-37.6167,-73.65,286.72,62,18,0.7,CL,1691339609
140,trincomalee,8.5711,81.2335,300.61,77,100,5.91,LK,1691339751
141,rongelap,11.1635,166.8941,301.12,79,32,5.55,MH,1691339751
142,coquimbo,-29.9533,-71.3436,292.0,52,75,1.54,CL,1691339616
143,udachny,66.4167,112.4,285.07,66,62,3.82,RU,1691339751
144,nadym,65.5333,72.5167,293.08,54,2,3.42,RU,1691339751
145,vila franca do campo,37.7167,-25.4333,296.38,62,66,1.32,PT,1691339751
146,avarua,-21.2078,-159.775,293.18,94,75,1.03,CK,1691339752
147,yanam,16.7333,82.2167,300.76,79,99,2.02,IN,1691339752
148,byron bay,-28.65,153.6167,286.88,91,88,3.96,AU,1691339555
149,georgetown,5.4112,100.3354,302.11,87,20,1.03,MY,1691339693
150,hawaiian paradise park,19.5933,-154.9731,294.28,95,75,3.6,US,1691339752
151,tamanrasset,22.785,5.5228,310.1,9,40,5.14,DZ,1691339752
152,vadso,70.0744,29.7487,290.64,72,75,3.09,NO,1691339752
153,korla,41.7597,86.1469,304.98,21,95,3.82,CN,1691339752
154,oamaru,-45.0784,170.9801,277.8,93,29,2.53,NZ,1691339753
155,masuguru,-11.3667,38.4167,299.99,42,37,2.39,TZ,1691339753
156,acarau,-2.8856,-40.12,304.54,55,0,9.39,BR,1691339753
157,rosarito,32.3333,-117.0333,296.7,64,2,2.29,MX,1691339507
158,ust'-dzheguta,44.0834,41.9763,298.39,71,2,2.98,RU,1691339753
159,kupang,-10.1667,123.5833,296.63,73,8,4.86,ID,1691339753
160,constantia,44.1833,28.65,300.53,76,23,4.42,RO,1691339753
161,pielavesi,63.2333,26.75,291.92,71,100,2.12,FI,1691339753
162,talnakh,69.4865,88.3972,291.6,60,30,2.34,RU,1691339754
163,tondano,1.3038,124.9112,294.2,93,73,1.96,ID,1691339754
164,kavaratti,10.5669,72.642,301.44,74,13,9.0,IN,1691339754
165,yuzhno-kurilsk,44.0306,145.8556,287.18,96,100,2.72,RU,1691339754
166,iqaluit,63.7506,-68.5145,282.0,81,20,2.06,CA,1691339754
167,urangan,-25.3,152.9,290.99,69,5,5.42,AU,1691339754
168,padang,-0.9492,100.3543,299.18,89,11,0.97,ID,1691339754
169,fale old settlement,-9.3852,-171.2468,301.56,74,52,4.6,TK,1691339754
170,happy valley-goose bay,53.3168,-60.3315,291.32,77,100,2.57,CA,1691339755
171,arkhangel'sk,64.5401,40.5433,290.28,82,12,1.81,RU,1691339755
172,tame,6.461,-71.73,299.05,79,95,1.83,CO,1691339755
173,alice springs,-23.7,133.8833,281.9,76,0,0.0,AU,1691339755
174,soe,-9.8607,124.284,289.13,88,12,2.31,ID,1691339755
175,weno,7.4515,151.8468,300.42,78,100,8.79,FM,1691339755
176,nouadhibou,20.931,-17.0347,298.14,61,66,9.26,MR,1691339755
177,labrador city,52.9463,-66.9114,286.1,94,100,5.14,CA,1691339672
178,bac lieu,9.285,105.7244,299.76,87,64,3.48,VN,1691339756
179,phan rang-thap cham,11.5667,108.9833,299.46,80,42,2.92,VN,1691339756
180,egilsstadir,65.2653,-14.3948,285.1,71,40,5.14,IS,1691339756
181,ha'il,27.5219,41.6907,310.16,13,0,3.09,SA,1691339756
182,newman,37.3138,-121.0208,302.17,25,0,2.75,US,1691339756
183,longyearbyen,78.2186,15.6401,285.06,71,75,3.6,SJ,1691339724
184,hadibu,12.65,54.0333,299.02,77,27,9.08,YE,1691339756
185,utrik,11.2278,169.8474,301.2,79,86,6.87,MH,1691339757
186,mil'kovo,55.6078,37.7956,302.78,64,0,3.34,RU,1691339757
187,kittila,67.6647,24.8936,294.23,40,0,3.09,FI,1691339758
188,abancay,-13.6339,-72.8814,294.9,35,20,1.73,PE,1691339758
189,papatowai,-46.5619,169.4708,279.89,94,97,4.04,NZ,1691339758
190,gadani,25.1185,66.7299,301.27,85,83,9.19,PK,1691339758
191,san pedro,14.35,121.0167,301.72,89,40,6.17,PH,1691339758
192,gumel,12.6279,9.3912,300.79,59,99,2.04,NG,1691339759
193,touros,-5.1989,-35.4608,301.78,60,2,8.54,BR,1691339759
194,enewetak,11.3474,162.3373,301.63,77,96,5.44,MH,1691339756
195,ingeniero jacobacci,-41.3427,-69.5448,283.77,29,35,5.3,AR,1691339759
196,playa del ingles,27.7567,-15.5787,302.01,71,18,3.13,ES,1691339759
197,aykhal,66.0,111.5,284.66,63,100,3.7,RU,1691339759
198,selfoss,63.9331,-20.9971,286.51,77,100,0.63,IS,1691339749
199,sunne,59.8376,13.143,290.38,93,100,2.65,SE,1691339760
200,kruisfontein,-34.0033,24.7314,288.09,86,1,3.75,ZA,1691339760
201,carnarvon,-24.8667,113.6333,293.17,78,5,3.03,AU,1691339760
202,revda,56.801,59.9303,289.97,96,31,1.71,RU,1691339760
203,carbonear,47.7332,-53.2148,289.06,95,100,7.52,CA,1691339760
204,palikir - national government center,6.9248,158.1611,296.56,100,100,2.06,FM,1691339760
205,remire-montjoly,4.9167,-52.2667,305.17,66,40,3.6,GF,1691339761
206,saipan,15.1355,145.701,300.54,100,40,0.0,MP,1691339761
207,lihue,21.9789,-159.3672,298.92,83,40,5.14,US,1691339739
208,le vauclin,14.5452,-60.8388,301.18,89,75,4.12,MQ,1691339761
209,nantucket,41.2835,-70.0995,301.18,49,0,4.63,US,1691339761
210,kuanda,56.3161,116.0806,291.31,53,100,1.49,RU,1691339761
211,fort stockton,30.894,-102.8793,311.57,21,0,4.12,US,1691339762
212,antsiranana,-12.2787,49.2917,296.04,76,95,8.12,MG,1691339762
213,kununurra,-15.7667,128.7333,294.14,49,0,2.57,AU,1691339728
214,tiksi,71.6872,128.8694,277.05,66,69,2.68,RU,1691339762
215,vidalia,32.2177,-82.4135,306.12,55,0,0.0,US,1691339762
216,languyan,5.2618,120.0807,299.67,83,0,1.94,PH,1691339763
217,kongoussi,13.3258,-1.5347,301.61,68,99,2.52,BF,1691339763
218,howard springs,-12.497,131.047,296.1,76,55,2.12,AU,1691339736
219,vail,32.0479,-110.712,308.46,31,0,1.79,US,1691339763
220,fort bragg,35.139,-79.006,306.04,59,20,3.6,US,1691339763
221,sarangani,5.4033,125.4636,301.57,76,17,6.54,PH,1691339764
222,idri,27.5,13.2667,314.46,14,0,3.53,LY,1691339764
223,mesquite,32.7668,-96.5992,309.23,50,0,1.34,US,1691339480
224,saint-paul,-21.0096,55.2707,294.26,99,73,0.75,RE,1691339697
225,invercargill,-46.4,168.35,279.83,94,91,0.45,NZ,1691339764
226,argo,37.6333,22.7333,304.7,34,0,3.38,GR,1691339764
227,horta,38.5333,-28.6333,297.05,76,40,2.68,PT,1691339765
228,beaufort west,-32.3567,22.583,290.45,26,8,1.87,ZA,1691339765
229,lib,8.3122,167.3766,301.06,76,95,3.74,MH,1691339765
230,harrisonville,38.6533,-94.3488,301.57,57,0,5.14,US,1691339765
231,tolanaro,-25.0319,46.9987,292.19,88,40,8.23,MG,1691339765
232,chonchi,-42.6128,-73.8092,283.77,65,45,1.13,CL,1691339766
233,solnechnyy,50.7214,136.6319,287.72,54,0,1.73,RU,1691339766
234,khandyga,62.6667,135.6,287.25,45,94,4.63,RU,1691339766
235,antofagasta,-23.65,-70.4,291.75,68,22,4.33,CL,1691339671
236,kingston,17.997,-76.7936,306.68,65,20,8.23,JM,1691339766
